2,</s>,1,17.244423,1
3,<unk>,1,0.03260458918835672,2
4,the,5586653,0.0144119404296875,2
5,",",4971506,0.0148437724609375,2
6,.,3628495,0.01415246875,2
7,of,2739894,0.0148700546875,2
8,and,2504154,0.0143278447265625,2
9,to,1991021,0.01456155859375,2
10,in,1920778,0.0147008154296875,2
11,a,1731937,0.014437759765625,2
12,=,1466599,16.3629,1
13,"""",1338685,0.0136307958984375,2
14,was,1075477,0.0135894365234375,2
15,@-@,881576,0.0175797290402104,2
16,The,853854,22.562725,1
17,'s,728305,0.020108370548127186,2
18,on,715823,0.020802010873798037,2
19,as,696660,0.020232965009538546,2
20,that,679716,0.019998434061003025,2
21,for,675559,0.02186421885408186,2
22,with,632352,0.022966458637761058,2
23,by,608436,0.02290487302830432,2
24,),583875,0.022221460389823644,2
25,(,583522,0.024464942423781534,2
26,is,527668,0.026047487272177244,2
27,his,436837,0.03181079789104671,2
28,from,431922,0.033675396102048775,2
29,at,429288,0.03423190544647058,2
30,were,354577,0.03894409548746249,2
31,an,337295,0.043380279975769896,2
32,it,334567,0.04080824681785439,2
33,he,321795,0.03950699403397702,2
34,had,293668,0.046230368720033575,2
35,In,281625,20.540524,1
36,which,275598,0.04652072036752299,2
37,be,240491,24.104965,1
38,are,206544,0.06455498206793575,2
39,but,204039,23.707792,1
40,not,195162,0.06203175459915812,2
41,;,191058,0.07523351034753263,2
42,first,189703,0.07225929311169624,2
43,their,186430,0.07642445621489763,2
44,–,185670,0.07613282196740184,2
45,:,181247,0.07896919309212523,2
46,or,180271,0.08339533231424878,2
47,its,180125,0.0792794239142202,2
48,also,179733,0.07352184341563872,2
49,her,178841,0.07891213434085596,2
50,one,169321,0.08498603790160643,2
51,have,163763,0.07680436471633967,2
52,@.@,158057,0.08006765854248783,2
53,two,156856,0.09195931581877095,2
54,who,155434,0.08035847579645035,2
55,been,152106,22.179205,1
56,has,151118,0.08885529018034398,2
57,"@,@",149068,0.08250508602827233,2
58,this,145725,0.09534665462406673,2
59,He,141171,18.78366,1
60,',138364,0.10581073250106604,2
61,they,135779,0.09846946469967079,2
62,after,130409,0.10358062532590025,2
63,time,127525,0.10931570416526168,2
64,would,126371,0.10473835862137866,2
65,into,124120,0.11496373579419561,2
66,1,119741,0.12260985227106648,2
67,It,119300,21.408594,1
68,other,114075,0.12571677649962743,2
69,I,112609,0.11255695176451261,2
70,more,112523,0.12968248353070566,2
71,all,102772,0.14198792290215234,2
72,over,102388,0.14355764429463014,2
73,when,102051,0.1329624724399804,2
74,A,101263,24.387825,1
75,she,101062,0.12733937459183473,2
76,him,100302,0.1369715535145462,2
77,2,98591,0.14666937421709386,2
78,during,96379,0.1467699965046121,2
79,out,95860,0.15621213231362863,2
80,up,93891,0.15701099899150603,2
81,only,93855,0.15110646631004007,2
82,than,90870,0.13992721278365008,2
83,about,90480,0.15626433375332957,2
84,game,90278,0.14560297262262206,2
85,between,88289,0.1645112709966247,2
86,later,87433,0.14190010924561372,2
87,three,87027,0.16717387693909797,2
88,most,85619,0.1581290427575101,2
89,while,83997,0.1501259079997738,2
90,new,82138,0.16583157879118068,2
91,3,80893,0.17993590547229468,2
92,On,80471,20.865105,1
93,made,78438,0.17741563541839311,2
94,film,77251,0.15920126640755458,2
95,000,76202,16.118576,1
96,such,75260,0.17624417509069043,2
97,where,74765,0.1665156294933657,2
98,season,74751,0.18276203035745342,2
99,before,73776,0.19112190903461151,2
100,years,71932,0.1799161501921954,2
101,year,71797,0.18513021558778467,2
102,This,71340,20.33647,1
